codigo;razao_10mais_40menos_2000;razao_20mais_40menos_2000;indigentes_2000;pobres_2000;idhm_renda_2003;idhm_edu_2003
2910305;13,486;9,394;45,462;78,617;0,545;0,734
2910404;9,855;7,138;44,853;77,374;0,505;0,615
2910503;20,663;13,374;45,549;75,361;0,557;0,742
2910602;29,865;20,2;58,795;83,462;0,511;0,732
2910701;23,198;15,97;58,746;83,705;0,502;0,698
2910727;29,903;18,946;30,58;54,431;0,654;0,796
2910750;18,317;12,482;55,516;80,525;0,514;0,629
2910776;29,584;19,931;61,013;83,996;0,497;0,754
2910800;26,457;17,463;27,592;53,007;0,663;0,861
2910859;20,976;15,457;68,535;89,493;0,44;0,753
2910909;16,73;11,673;49,502;80,113;0,536;0,7
2911006;17,197;11,692;50,915;80,409;0,521;0,718
2911105;123,637;69,862;60,59;86,199;0,568;0,715
2911204;36,994;22,598;40,432;68,826;0,609;0,738
2911253;14,031;9,879;52,19;81,845;0,501;0,755
2911303;75,561;58,776;70,168;86,159;0,452;0,704
2911402;56,854;38,949;60,793;81,581;0,501;0,689
2911501;15,843;11,353;62,938;89,096;0,459;0,649
2911600;22,624;15,561;51,618;75,62;0,533;0,781
2911659;11,335;8,93;43,646;74,818;0,513;0,658
2911709;35,826;22,477;41,945;67,399;0,612;0,793
2911808;15,333;10,451;46,239;81,63;0,506;0,648
2911857;10,798;8,275;54,056;81,094;0,498;0,652
2911907;20,834;14,502;56,248;82,96;0,519;0,733
2912004;15,909;11,245;46,671;72,544;0,549;0,711
2912103;26,485;17,051;53,727;80,861;0,552;0,724
2912202;17,961;11,272;33,69;69,992;0,572;0,704
2912301;20,333;12,892;41,928;76,661;0,564;0,673
2912400;23,158;16,717;49,414;73,361;0,515;0,787
2912509;23,614;17,203;56,632;73,2;0,524;0,635
2912608;18,882;13,4;62,459;87,039;0,484;0,704
2912707;19,552;13,668;67,521;87,873;0,483;0,668
2912806;16,832;11,197;37,17;67,778;0,572;0,728
2912905;25,924;16,362;56,017;82,464;0,53;0,732
2913002;17,321;12,781;57,071;82,165;0,507;0,747
2913101;16,526;12,072;53,471;78,398;0,513;0,754
2913200;47,742;30,542;46,103;72,602;0,599;0,789
2913309;13,633;9,857;44,15;70,317;0,537;0,832
2913408;31,82;19,682;58,571;87,569;0,541;0,721
2913457;17,493;11,874;58,659;85,827;0,467;0,642
2913507;21,816;14,228;54,985;79,897;0,521;0,638
2913606;29,735;19,008;37,615;66,768;0,63;0,795
2913705;17,314;11,891;60,945;83,931;0,502;0,692
2913804;11,367;8,619;56,042;84,209;0,477;0,706
2913903;30,023;19,629;49,064;72,884;0,592;0,767
2914000;21,586;14,632;56,032;80,008;0,524;0,691
2914109;39,164;26,427;57,844;80,868;0,521;0,804
2914208;16,931;12,326;62,446;88,646;0,49;0,662
2914307;12,563;9,153;57,157;81,813;0,477;0,734
2914406;30,916;21,767;59,85;83,443;0,486;0,759
2914505;22,924;15,013;57,018;84,383;0,532;0,769
2914604;24,954;16,386;29,937;58,829;0,617;0,8
2914653;18,821;12,72;47,085;76,641;0,543;0,717
2914703;22,878;15,569;45,796;71,293;0,575;0,78
2914802;29,743;19,383;29,669;56,68;0,663;0,848
2914901;20,496;13,269;57,226;86,172;0,514;0,681
2915007;38,04;26,828;69,367;88,48;0,457;0,673
2915106;24,692;15,594;58,987;86,605;0,518;0,693
2915205;16,278;11,148;59,66;87,219;0,494;0,687
2915304;23,844;14,873;29,992;65,381;0,594;0,732
2915353;23,467;16,717;62,325;84,303;0,472;0,668
2915403;16,664;10,947;47,731;80,437;0,529;0,696
2915502;21,563;14,908;51,423;78,509;0,538;0,749
2915601;18,871;12,468;33,18;66,679;0,601;0,742
2915700;20,928;13,289;49,745;81,349;0,54;0,691
2915809;8,162;6,02;44,112;82,919;0,499;0,69
2915908;17,895;12,232;63,442;88,472;0,488;0,701
2916005;20,164;13,758;49,333;76,206;0,571;0,729
2916104;21,924;15,192;38,095;67,527;0,587;0,861
2916203;11,293;8,156;46,423;83,809;0,502;0,72
2916302;13,673;9,586;49,27;77,829;0,52;0,674
2916401;21,657;13,889;31,116;61,577;0,62;0,799
2916500;17,531;12,053;68,153;89,966;0,464;0,563
2916609;14,864;10,161;52,743;85,101;0,511;0,663
