municipio;esfera;rend_medio_bruto_2018
Caldeirão Grande do Piauí;Municipal;3047,887
Campinas do Piauí;Municipal;2642,152
Campo Alegre do Fidalgo;Municipal;3403,996
Campo Grande do Piauí;Municipal;3072,291
Campo Largo do Piauí;Municipal;3459,04
Campo Maior;Municipal;4284,948
Canavieira;Municipal;1871,581
Canto do Buriti;Municipal;3099,602
Capitão de Campos;Municipal;3534,334
Capitão Gervásio Oliveira;Municipal;2822,286
Caracol;Municipal;3542,165
Caraúbas do Piauí;Municipal;
Caridade do Piauí;Municipal;3208,013
Castelo do Piauí;Municipal;2938,826
Caxingó;Municipal;3900,573
Cocal;Municipal;3495,667
Cocal de Telha;Municipal;3512,987
Cocal dos Alves;Municipal;2070,582
Coivaras;Municipal;3635,389
Colônia do Gurguéia;Municipal;2667,543
Colônia do Piauí;Municipal;2151,546
Conceição do Canindé;Municipal;4196,115
Coronel José Dias;Municipal;3480,899
Corrente;Municipal;2871,278
Cristalândia do Piauí;Municipal;2857,564
Cristino Castro;Municipal;2661,894
Curimatá;Municipal;2777,46
Currais;Municipal;3009,193
Curralinhos;Municipal;3608,447
Curral Novo do Piauí;Municipal;2016,792
Demerval Lobão;Municipal;3028,992
Dirceu Arcoverde;Municipal;2637,697
Dom Expedito Lopes;Municipal;2964,737
Domingos Mourão;Municipal;3450,662
Dom Inocêncio;Municipal;
Elesbão Veloso;Municipal;1976,2
Eliseu Martins;Municipal;3532,436
Esperantina;Municipal;3718,259
Fartura do Piauí;Municipal;3768,755
Flores do Piauí;Municipal;1799,061
Floresta do Piauí;Municipal;2836,269
Floriano;Municipal;4546,208
Francinópolis;Municipal;3455,673
Francisco Ayres;Municipal;2629,825
Francisco Macedo;Municipal;3342,806
Francisco Santos;Municipal;3200,687
Fronteiras;Municipal;1821,129
Geminiano;Municipal;2303,399
Gilbués;Municipal;3570,776
Guadalupe;Municipal;3856,932
Guaribas;Municipal;2993,067
Hugo Napoleão;Municipal;2031,836
Ilha Grande;Municipal;3215,777
Inhuma;Municipal;3600,399
Ipiranga do Piauí;Municipal;3305,223
Isaías Coelho;Municipal;
Itainópolis;Municipal;
Itaueira;Municipal;
Jacobina do Piauí;Municipal;2220,14
Jaicós;Municipal;3066,234
Jardim do Mulato;Municipal;3535,659
Jatobá do Piauí;Municipal;3099,532
Jerumenha;Municipal;2493,547
João Costa;Municipal;2953,962
Joaquim Pires;Municipal;3294,31
Joca Marques;Municipal;2352,473
José de Freitas;Municipal;3081,167
Juazeiro do Piauí;Municipal;1767,098
Júlio Borges;Municipal;2430,063
Jurema;Municipal;4064,034
Lagoinha do Piauí;Municipal;2981,49
Lagoa Alegre;Municipal;3826,412
Lagoa do Barro do Piauí;Municipal;3535,718
Lagoa de São Francisco;Municipal;2280,482
