cod;escola;zona;esfera
11029064;EPMEIEF JOSE VERISSIMO;Rural;Municipal
11029110;EEEFM MARIA DO CARMO DE OLIVEIRA RABELO;Urbana;Estadual
11029161;EEEF MONTEIRO LOBATO;Urbana;Estadual
11029170;EEEFM NILSON SILVA;Urbana;Estadual
11029307;EEEFM PRISCILA RODRIGUES CHAGAS;Urbana;Estadual
11029412;EEEF ULISSES GUIMARAES;Urbana;Estadual
11029455;EEEFM CEL ALUIZIO PINHEIRO FERREIRA;Urbana;Estadual
11029480;EEEFM TANCREDO DE ALMEIDA NEVES;Urbana;Estadual
11045051;EPMEIEF FRANCISCA DURAN COSTA;Rural;Municipal
11045639;COLEGIO CLARICE LISPECTOR LTDA;Urbana;Privada
11048174;EPEFM BENEDITO CRUZ;Urbana;Privada
11029951;ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL E MEDIO JUSCELINO KUBITSCHEK;Urbana;Estadual
11033215;CENTRO EDUCACIONAL ISOLINA RUTTMANN - SESI;Urbana;Privada
11033363;EEEF CECILIA MEIRELES;Urbana;Estadual
11033428;ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL INTEGRAL DEPUTADO GENIVAL NUNES DA COSTA;Urbana;Estadual
11033487;ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL MACHADO DE ASSIS;Urbana;Estadual
11033533;EMEIEF MARIA PAULINA DONADON;Rural;Municipal
11033576;EEEF PAULO FREIRE;Urbana;Estadual
11033649;E E E F M MARIA ARLETE TOLEDO;Urbana;Estadual
11033681;EMEIEF PROGRESSO;Rural;Municipal
11033738;EPEB STA LUCIA FILIPPINI;Urbana;Privada
11033762;E M M E I E F TENENTE MELO;Rural;Municipal
11033797;EEEFM ALVARES DE AZEVEDO;Urbana;Estadual
11033827;IEE WILSON CAMARGO;Urbana;Estadual
11033835;COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM V;Urbana;Estadual
11039760;EMEF CRISTO REI;Urbana;Municipal
11041951;COOPERATIVA EDUCACIONAL DE VILHENA;Urbana;Privada
11043954;COLEGIO PROFESSOR VANKS;Urbana;Privada
11106867;EEEFM SHIRLEI CERUTI;Urbana;Estadual
11022361;EMEIEF CANDIDO PORTINARI;Rural;Municipal
11022370;EMEIEF CARLOS CHAGAS;Rural;Municipal
11022388;EMEIEF CARLOS GOMES;Rural;Municipal
11022450;EEEF DEONILDO CARAGNATTO;Urbana;Estadual
11022469;EMEIEF DEONILDO CARAGNATTO;Rural;Municipal
11022809;EMEIEF PADRE EZEQUIEL RAMIN;Rural;Municipal
11022841;EMEIEF PRIMAVERA;Urbana;Municipal
11022949;EMEIEF VISCONDE DE CAIRU;Rural;Municipal
11022981;EEEFM PRINCESA ISABEL;Urbana;Estadual
11074809;EMEIEF OLAVO BILAC;Rural;Municipal
11003979;EEEFM CASIMIRO DE ABREU;Urbana;Estadual
11004053;EEIEF FRANCISCO MEIRELLES;Rural;Estadual
11004118;EMEIF LUCIANA MARONARI;Rural;Municipal
11004274;EEEFM PROFESSOR SALOMAO SILVA;Urbana;Estadual
11038357;EMEIF PROFª MARIA ALEUDA NUNES DE SOUZA;Rural;Municipal
11040327;EMEIF MARECHAL CANDIDO RONDON;Rural;Municipal
11042796;CENTRO EDUCACIONAL PAULO FREIRE;Urbana;Privada
11044047;EIEEF WAO TO AM ORO WARAN XIJIEN;Rural;Estadual
11046210;EMEIF OSVALDO RIBEIRO DO NASCIMENTO;Rural;Municipal
11048247;EEEFM PROFESSORA MARIA LAURINDA GROFF;Urbana;Estadual
11049227;EMEIF MANOEL JOSE DOS SANTOS;Rural;Municipal
11049855;EEEFM PEDRO MENDES CARDOSO;Urbana;Estadual
11050292;EIEEF TOP ARAN ORO WARAM XIJEIN;Rural;Estadual
11067802;EEIEF MAXUN TAPEREPE E EO ORO WARAM;Rural;Estadual
11000589;EMEIF SENADOR DARCY RIBEIR0;Rural;Municipal
11023309;EMEF HUMBERTO DE CAMPOS;Urbana;Municipal
11023430;EEEF MONTE ALEGRE;Urbana;Estadual
11023449;EMEIF MONTEIRO LOBATO;Urbana;Municipal
11023490;EMEIF NOVO DESTINO;Rural;Municipal
11023660;EEEFM JOAQUIM XAVIER DE OLIVEIRA;Urbana;Estadual
11023678;ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL E MEDIO SANTA ANA;Urbana;Estadual
11057807;EMEF PROFESSORA MATILDE DUTRA ROZO;Urbana;Municipal
11024437;EEEFM ARTUR DA COSTA E SILVA;Urbana;Estadual
11024690;EMEF EUZEBIO DE QUEIROZ;Rural;Municipal
11024712;EMEF FERNANDO SABINO;Rural;Municipal
11025050;EMEF MARCELO GAMA;Rural;Municipal
11025492;EMEF SILVA JARDIM;Rural;Municipal
11031840;EMEF DOM JOAO PAULO I;Rural;Municipal
11040947;EMEF EDUCANDARIO PAULO FREIRE;Urbana;Municipal
11009764;EMEF DONA TEREZA CRISTINA;Rural;Municipal
11009888;EEEFM LAURINDO RABELO;Urbana;Estadual
11009918;EMEF MAURICIO DE NASSAU;Rural;Municipal
11009950;EMEF OSVALDO DE ANDRADE;Rural;Municipal
11009977;EMEF PADRE ANGELO SPADARI;Rural;Municipal
11010037;EMEF RIBEIRO COUTO;Rural;Municipal
11010126;EMEF UNIAO DO ALTO ALEGRE;Rural;Municipal
11048140;EEEF CUSTODIO GABRIEL FILHO;Urbana;Estadual
11004428;EEEFM BURITI;Urbana;Estadual
11039582;EEEFM MARECHAL RONDON;Urbana;Estadual
11042028;EEEFM PROF ELVANDAS MARIA DE SIQUEIRA;Urbana;Estadual
11045914;E E E F M MARIA DE ABREU BIANCO;Urbana;Estadual
11030003;EEEFM AMERICO BRASILIENSE DE ALMEIDA E MELO;Urbana;Estadual
11030372;EEEFM MARECHAL CANDIDO RONDON;Urbana;Estadual
11010290;EEEFM FREI HENRIQUE DE COIMBRA;Urbana;Estadual
11041463;EMEB WALDEMIRO DA SILVA MOURA;Rural;Municipal
11043067;EMEF VALDIR ALBERTON;Rural;Municipal
11004347;EEEFM 15 DE OUTUBRO;Urbana;Estadual
11037172;EMEIEF 07 DE SETEMBRO;Rural;Municipal
11076801;EEEFM RUTH ROCHA;Rural;Estadual
11004894;EEEF JAIME BARCESSAT;Urbana;Estadual
11005041;EEEFM CARLOS DRUMMOND DE ANDRADE;Urbana;Estadual
11045043;EMEF MARIO COVAS;Rural;Municipal
11046953;EEEFM ALBINO BUTTNER;Urbana;Estadual
11030666;EEEFM FRANCISCA JULIA DA SILVA;Urbana;Estadual
11030801;EMEPEF MARQUES DE BARBACENA;Rural;Municipal
11032065;EMEIEF VALTER JOSE ZANELLA;Rural;Municipal
11095806;EEEFM FRANCISCA MARTENDAL;Rural;Estadual
11106859;EEEFM MOACYR CARAMELLO;Urbana;Estadual
11009136;EMEF 23 DE MARCO;Rural;Municipal
11009152;EEEFM ANTONIO FRANCISCO LISBOA;Urbana;Estadual
11039710;EMEF ANTONIO FREDERICO DE CASTRO ALVES;Rural;Municipal
11019115;EEEFM CLAUDIO MANOEL DA COSTA;Urbana;Estadual
11019140;EEEFM COSTA JUNIOR;Urbana;Estadual
